id,date,customer_id,product_id,quantity,amount,discount,status,region
1,2025-09-24,14,8,10,899.9,0,completed,East
2,2024-02-17,54,14,10,42.42,0.15,completed,East
3,2024-05-06,14,16,6,1274.95,0.15,completed,East
4,2025-01-30,161,7,5,254.96,0.15,completed,East
5,2024-06-26,146,8,2,179.98,0,pending,West
6,2024-09-08,93,11,4,84.97,0.15,refunded,West
7,2025-11-18,82,17,8,3199.92,0,pending,North
8,2024-06-14,126,4,2,299.98,0,refunded,North
9,2024-06-16,198,17,6,2039.95,0.15,completed,East
10,2025-05-22,23,20,5,299.95,0,refunded,East
11,2025-09-27,168,9,2,143.98,0.1,refunded,East
12,2024-06-15,184,4,9,1214.92,0.1,completed,East
13,2025-03-31,165,21,6,779.94,0,pending,South
14,2024-11-19,197,16,8,1999.92,0,completed,West
15,2025-01-31,67,6,7,209.93,0,completed,North
16,2024-03-16,162,10,5,509.96,0.15,pending,South
17,2025-01-05,160,12,1,3.59,0.1,pending,North
18,2025-05-21,153,14,7,29.69,0.15,completed,North
19,2024-12-07,54,6,9,269.91,0,completed,East
20,2024-05-24,64,14,5,24.95,0,completed,West
21,2025-10-11,136,10,10,1139.9,0.05,pending,West
22,2025-07-11,85,20,7,419.93,0,completed,South
23,2025-11-09,167,1,5,4499.95,0,completed,South
24,2025-06-19,71,14,3,14.97,0,refunded,West
25,2024-08-13,147,5,8,2399.92,0,pending,East
26,2024-08-02,158,1,4,3599.96,0,pending,East
27,2025-04-01,45,6,6,179.94,0,completed,South
28,2024-10-23,120,11,10,237.4,0.05,pending,North
29,2024-09-10,129,17,5,1999.95,0,pending,South
30,2025-05-18,151,21,9,1169.91,0,completed,North
31,2025-09-14,18,23,7,559.93,0,completed,East
32,2024-05-12,123,9,4,319.96,0,completed,West
33,2024-03-23,180,11,9,191.17,0.15,completed,East
34,2025-01-07,97,17,10,3999.9,0,completed,South
35,2025-06-21,157,10,2,203.98,0.15,completed,East
36,2025-12-20,154,19,8,5759.93,0.1,completed,South
37,2025-02-22,6,1,7,6299.93,0,refunded,East
38,2025-12-18,118,18,7,1049.93,0,completed,South
39,2025-03-11,92,11,4,89.96,0.1,pending,North
40,2024-11-22,40,1,2,1799.98,0,completed,East
41,2024-03-04,25,4,7,892.44,0.15,completed,South
42,2025-02-10,26,8,10,809.91,0.1,completed,West
43,2024-06-22,30,14,10,49.9,0,completed,North
44,2025-01-28,129,14,7,34.93,0,completed,South
45,2025-07-23,78,19,9,6839.91,0.05,pending,North
46,2024-01-01,15,22,8,271.93,0.15,completed,West
47,2024-06-16,140,17,10,3999.9,0,refunded,East
48,2024-11-20,141,17,4,1359.97,0.15,completed,East
49,2024-07-22,2,4,8,1079.93,0.1,pending,South
50,2025-03-13,61,14,7,33.18,0.05,pending,South
51,2025-09-06,99,20,8,455.92,0.05,pending,South
52,2024-11-18,168,23,7,503.94,0.1,completed,East
53,2025-03-23,175,23,8,543.93,0.15,completed,South
54,2025-06-10,108,18,6,854.94,0.05,refunded,East
55,2025-02-07,34,13,1,13.49,0.1,completed,East
56,2024-11-29,24,13,2,26.98,0.1,refunded,South
57,2024-11-04,181,7,3,179.97,0,completed,West
58,2024-01-23,90,8,5,449.95,0,completed,East
59,2024-06-18,136,2,5,2549.96,0.15,pending,West
60,2025-12-27,28,4,10,1349.91,0.1,pending,South
61,2025-10-07,118,19,1,799.99,0,completed,South
62,2025-08-12,78,12,3,11.97,0,completed,North
63,2024-04-20,48,19,7,5599.93,0,completed,South
64,2024-12-25,157,4,3,427.47,0.05,pending,East
65,2024-11-29,159,10,4,479.96,0,completed,East
